"id.deidentified","Age","Gender","Race","Multi.racial","Class","income","ladder","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","iat","cgpa"
35,18,2,"7","",1,7,8,1,2,2,1,2,3,1,3,2,1,3,1,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069007706,"3.8"
36,19,2,"3","",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,2,1,1,2,1,1,1,0,1,3,1,2,1,0.642198273,"3.6"
37,18,2,"7","",1,7,8,1,2,2,1,4,3,1,4,2,1,4,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850726426,"3.9"
38,18,2,"3","",1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,1,1,1,1,1,1,1,0,1,3,1,2,1,0.586235791,"3.2"
39,19,1,"7","",1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,3,3,1,2,3,1,2,2,1,1,0,1,2,1,3,1,0.413421736,"I don't know; rounds down to 3.8 I believe. Maybe 3.83?"
40,19,2,"7","",2,8,9,1,3,3,1,3,3,1,4,3,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468441757,"3.1"
41,22,2,"7","",4,8,10,1,2,1,1,3,3,1,3,3,1,2,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503005988,"3.92"
42,20,2,"7","",2,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,2,1,2,2,1,3,2,2,1,0,1,3,1,1,1,0.981461675,"3.84"
43,18,2,"2","",1,5,9,1,2,2,1,3,3,1,4,3,1,2,1,1,1,0,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223367121,"3"
44,19,2,"8","Half black, half white",1,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,2,1,2,2,1,2,1,1,1,0,1,2,1,3,1,0.694124226,"2.7"
